Animal ID,Found Street,Found City,Found State,Zip_code,Latitude,Longitude,At AAC,Intake Date,Breed(unconfirmed),Color_x,Found_Sex,Gender_x,Age,Image Link
A808186,183 And Cameron,Austin ,TX,78617,30.157123, -97.611102,Yes (come to the shelter),11/05/2019,English Bulldog,Brown/White,Intact,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808186
A807919,none,Travis ,TX,78735,30.251613, -97.883148,Yes (come to the shelter),11/01/2019,Chihuahua Shorthair,White,Spayed,Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807919
A808185,1009 West Dittmar Road,Austin ,TX,78617,30.157123, -97.611102,Yes (come to the shelter),11/05/2019,English Bulldog,Brown/White,Intact,Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808185
A808112,2920 Fm 812,Travis ,TX,78745,,,Yes (come to the shelter),11/04/2019,Pit Bull/Labrador Retriever,White/Blue,Intact,Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808112
A808213,Highway 183 And Lakeline Boulevard,Austin ,TX,78729,30.467082, -97.787465,Yes (come to the shelter),11/06/2019,Chihuahua Longhair,Tan,Neutered,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808213
A736335,Dessau Rd And Palmer Dr,Austin ,TX,78653,30.354341, -97.525606,Yes (come to the shelter),11/02/2019,Pit Bull Mix,Tan/White,Intact,Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736335
A736335,none,Austin ,TX,78653,30.354341, -97.525606,Yes (come to the shelter),11/02/2019,Pit Bull Mix,Tan/White,Intact,Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736335
A736335,Brassiewood Dr And S Pleasant Valley Rd,Austin ,TX,78653,30.354341, -97.525606,Yes (come to the shelter),11/02/2019,Pit Bull Mix,Tan/White,Intact,Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736335
A736335,none,Austin ,TX,78653,30.354341, -97.525606,Yes (come to the shelter),11/02/2019,Pit Bull Mix,Tan/White,Intact,Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736335
A808147,none,Austin ,TX,78744,30.179421, -97.777444,Yes (come to the shelter),11/04/2019,American Staffordshire Terrier/Pit Bull,Brown Brindle/White,Intact,Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808147
A808220,Alf Avenue And Saucedo Street,Austin ,TX,78745,,,Yes (come to the shelter),11/06/2019,Pit Bull Mix,Blue/White,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808220
A808221,none,Austin ,TX,78745,,,Yes (come to the shelter),11/06/2019,Chinese Sharpei Mix,Black,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808221
A808152,1000 E 41St,Austin ,TX,78753,,,Yes (come to the shelter),11/04/2019,Dachshund Mix,Black/Brown,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808152
A808149,Maha Loop,Austin ,TX,78753,,,Yes (come to the shelter),11/04/2019,Dachshund Mix,Tan/White,Spayed,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808149
A808192,124 W Anderson Ln,Austin ,TX,78617,,,Yes (come to the shelter),11/05/2019,Labrador Retriever Mix,Yellow,Spayed,Female,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808192
A766109,2312 E 10Th,Austin ,TX,78653,30.345622, -97.52449,Yes (come to the shelter),10/31/2019,Australian Shepherd Mix,Sable/White,Neutered,Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A766109
A766109,none,Austin ,TX,78653,30.345622, -97.52449,Yes (come to the shelter),10/31/2019,Australian Shepherd Mix,Sable/White,Neutered,Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A766109
A807861,7414 Johnny Morris,Austin ,TX,78745,,,Yes (come to the shelter),10/31/2019,Pit Bull,White/Black,Intact,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807861
A808188,none,Travis ,TX,78744,30.181372, -97.763751,Yes (come to the shelter),11/05/2019,Labrador Retriever Mix,Black/Tricolor,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808188
A808189,Eskew Drive And Los Ranchos,Austin ,TX,78744,30.181372, -97.763751,Yes (come to the shelter),11/05/2019,Labrador Retriever Mix,Tan/White,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A808189
A808075,Airport And Glissman,Austin ,TX,78748,30.166107, -97.825259,No (contact for more info),11/03/2019,American Bulldog Mix,White/Blue,Intact,Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A808075
A808005,none,Austin ,TX,78725,30.284198, -97.659912,Yes (come to the shelter),11/02/2019,Pit Bull,Black/White,Intact,Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808005
A807909,none,Austin ,TX,78741,,,Yes (come to the shelter),10/31/2019,German Shepherd,Black/Tan,Intact,Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807909
A807908,Fletcher Lane And Travis Cook Road,Austin ,TX,78705,30.296295, -97.746995,Yes (come to the shelter),10/31/2019,Border Collie Mix,Black/White,Intact,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807908
A807927,none,Travis ,TX,78758,,,Yes (come to the shelter),11/01/2019,Siberian Husky/Labrador Retriever,White,Intact,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807927
A808194,7010 West Us Highway 71,Austin ,TX,78704,,,Yes (come to the shelter),11/05/2019,Chihuahua Shorthair,Yellow,Intact,Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808194
A807929,Parmer And Ih35,Austin ,TX,78702,30.251079, -97.691727,Yes (come to the shelter),11/01/2019,Alaskan Husky/German Shepherd,Tan/White,Intact,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807929
A808108,702 Grand Canyon,Austin ,TX,78660,30.415705, -97.595303,Yes (come to the shelter),11/04/2019,Border Collie Mix,Black/White,Intact,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808108
A807883,15009 Nuttall Drive,Travis ,TX,78744,30.153937, -97.744737,Yes (come to the shelter),10/31/2019,Great Pyrenees,White/White,Intact,Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A807883
A803080,Woodsworth Drive And Keats Drive,Austin ,TX,78741,30.226402, -97.706476,Yes (come to the shelter),11/05/2019,Pit Bull,Black/White,Spayed,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A803080
A803080,6115 Felix Avenue,Austin ,TX,78741,30.226402, -97.706476,Yes (come to the shelter),11/05/2019,Pit Bull,Black/White,Spayed,Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A803080
A808006,none,Austin ,TX,78725,30.284198, -97.659912,Yes (come to the shelter),11/02/2019,Pit Bull,Tan/Black,Intact,Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808006
A807923,5409 Ponciana Dr,Austin ,TX,78724,30.294419, -97.628815,Yes (come to the shelter),11/01/2019,Miniature Schnauzer Mix,Black,Intact,Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807923
A777113,7402 Crystalbrook Drive,Austin ,TX,78723,30.30723, -97.686715,No (contact for more info),11/04/2019,Chihuahua Shorthair Mix,Black,Intact,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A777113
A807940,3400 Shoreline Drive,Travis ,TX,78752,30.332552, -97.710036,Yes (come to the shelter),11/01/2019,Bloodhound,Brown,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807940
A807887,7902 Phoenix Pass,Austin ,TX,78723,30.306527, -97.669867,Yes (come to the shelter),10/31/2019,Chihuahua Shorthair,Tan/Black,Intact,Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A807887
A808026,Northwestern Avenue And East 10Th Street,Austin ,TX,78703,30.268929, -97.760472,Yes (come to the shelter),11/03/2019,Labrador Retriever,Red,Intact,Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A808026
A807950,2501 Wickersham Lane,Austin ,TX,78745,,,Yes (come to the shelter),11/01/2019,Pit Bull,Brown Brindle/White,Spayed,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807950
A618334,12201 Prairie Glen Ct,Del Valle ,TX,78753,30.413572, -97.677613,Yes (come to the shelter),11/01/2019,Yorkshire Terrier Mix,Tan/Silver,Spayed,Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A618334
A618334,7201 Levander Loop,Austin ,TX,78753,30.413572, -97.677613,Yes (come to the shelter),11/01/2019,Yorkshire Terrier Mix,Tan/Silver,Spayed,Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A618334
A807965,1325 S Fm 973,Austin ,TX,78744,30.199377, -97.729547,Yes (come to the shelter),11/02/2019,Maltese Mix,Tan/White,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807965
A709018,5036 Turnersville Road,Travis ,TX,78745,,,Yes (come to the shelter),10/31/2019,Pit Bull Mix,Black/White,Neutered,Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A709018
A709018,Westgate And William Cannon,Austin ,TX,78745,,,Yes (come to the shelter),10/31/2019,Pit Bull Mix,Black/White,Neutered,Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A709018
A807890,none,Williamson ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Tan,Intact,Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807890
A807891,none,Outside Jurisdiction,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Tan,Intact,Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807891
A807892,none,Austin ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Tan,Intact,Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807892
A807900,3503 River Road,Travis ,TX,78660,30.41491, -97.631343,Yes (come to the shelter),10/31/2019,Boxer Mix,Red/White,Intact,Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A807900
A807893,Knool Pines Pass And Southwick Drive,Austin ,TX,78660,,,No (contact for more info),10/31/2019,German Shepherd/Labrador Retriever,Black/Tricolor,Intact,Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A807893
A808028,1901 West William Cannon Drive,Austin ,TX,78744,30.167477, -97.742604,Yes (come to the shelter),11/03/2019,Anatolian Shepherd Mix,White,Intact,Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A808028
A794270,none,Austin ,TX,78741,30.225805, -97.741464,Yes (come to the shelter),11/02/2019,Pug Mix,Fawn,Intact,Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A794270
