Location,Mean Number of Dogs per household,Dog Population (in 1000)
Alabama,1.7,"1,410"
Arizona,1.8,"1,798"
Arkansas,2,"1,097"
California,1.6,"6,687"
Colorado,1.6,"1,349"
Connecticut,1.3,507
Delaware,1.4,163
District of Columbia,1.1,42
Florida,1.5,"4,210"
Georgia,1.6,"2,479"
Idaho,1.5,357
Illinois,1.5,"2,365"
Indiana,1.6,"1,619"
Iowa,1.5,610
Kansas,1.6,774
Kentucky,1.9,"1,531"
Louisiana,1.8,1115
Maine,1.6,300
Maryland,1.4,915
Massachusetts,1.4,850
Michigan,1.5,"2,036"
Minnesota,1.4,934
Mississippi,1.7,846
Missouri,1.7,"1,978"
Montana,1.7,282
Nebraska,1.6,374
Nevada,1.6,578
New Hampshire,1.4,212
New Jersey,1.3,"1,340"
New Mexico,2,703
New York,1.4,"3,054"
North Carolina,1.7,"2,518"
North Dakota,1.4,139
Ohio,1.6,"2,730"
Oklahoma,2.1,"1,327"
Oregon,1.6,917
Pennsylvania,1.5,"2,485"
Rhode Island,1.3,161
South Carolina,1.8,"1,191"
South Dakota,1.5,220
Tennessee,1.9,"2,157"
Texas,1.8,"7,163"
Utah,1.5,410
Vermont,1.4,142
Virginia,1.6,"1,699"
Washington,1.7,"1,609"
West Virginia,1.8,648
Wisconsin,1.4,"1,138"
Wyoming,1.5,125
