le_gender,le_color1,le_color2,le_breed1,le_breed2,le_intake_type,le_intake_condition,le_intake_sex,le_outcome_type,le_outcome_sex,le_outcome_d_m,le_intake_d_m,Outcome_Age_Month,Duration_Day
1,35,33,326,106,2,5,1,5,1,5,5,80,1.1138888888888892
1,35,33,326,106,2,5,1,5,1,3,3,89,1.2597222222222222
1,33,36,124,166,1,5,1,7,1,6,6,120,4.970138888888889
1,12,33,309,166,2,3,1,5,1,2,2,193,0.11944444444444445
0,2,33,217,120,3,0,2,5,2,2,2,185,0.8708333333333333
0,2,20,241,106,3,5,0,5,0,2,2,181,0.17847222222222225
1,12,33,225,106,3,5,1,5,1,11,11,181,0.21319444444444444
1,34,1,310,106,2,5,1,5,1,5,5,180,6.258333333333334
0,12,33,310,106,3,5,2,5,2,11,11,217,0.05416666666666667
1,2,30,125,106,1,5,1,0,1,2,1,193,49.74791666666667
1,2,33,65,106,1,9,1,3,1,4,4,178,0.13055555555555556
1,32,1,106,166,2,0,1,0,1,1,11,208,9.020138888888887
0,32,1,173,97,3,5,0,5,0,3,2,165,10.886111111111115
1,2,36,245,106,3,5,1,5,1,10,10,163,0.1111111111111111
1,21,19,286,166,1,9,1,3,1,3,3,182,0.06666666666666668
1,21,19,286,166,1,9,1,3,1,3,3,182,0.06805555555555555
0,12,33,332,106,3,3,2,3,2,6,6,191,0.9402777777777778
1,12,33,218,106,3,5,1,5,1,1,1,155,1.0555555555555556
1,30,33,217,17,3,5,1,0,1,1,1,184,23.104861111111113
0,8,30,98,97,3,5,2,5,2,2,2,151,0.029166666666666667
1,8,36,288,166,0,0,0,3,0,5,5,168,0.07013888888888889
1,12,1,296,51,3,0,1,5,1,11,11,159,0.17708333333333334
1,2,32,322,106,3,5,1,5,1,9,9,156,4.199305555555555
1,22,33,291,106,3,5,1,7,1,8,8,181,7.84375
1,32,36,218,106,3,5,1,7,1,7,7,180,4.552083333333333
1,32,36,218,106,3,5,1,5,1,9,9,170,0.8965277777777778
0,2,10,174,106,3,5,2,0,2,2,10,190,89.85555555555555
0,33,36,64,166,0,0,2,3,2,5,5,171,0.05625
1,19,36,174,106,3,5,1,5,1,11,11,155,0.03888888888888889
0,32,36,107,106,3,5,2,5,2,1,1,225,0.7020833333333333
0,26,36,274,44,3,5,2,5,2,0,0,150,0.06805555555555555
0,32,36,218,106,3,5,2,3,2,2,2,210,4.018055555555557
1,35,36,218,106,3,3,0,5,0,1,1,199,0.12013888888888888
1,14,36,64,44,3,5,1,5,1,8,8,160,0.8840277777777777
1,34,36,52,106,2,5,1,5,1,0,0,168,0.8465277777777778
1,34,10,209,106,2,5,1,5,1,5,5,145,6.727083333333334
1,33,36,194,106,3,5,1,3,1,11,11,151,6.709027777777778
0,33,36,280,106,3,5,2,0,2,2,2,138,2.7555555555555555
1,2,36,64,51,3,5,1,5,1,2,2,138,0.3375
1,19,36,15,106,3,5,1,3,1,11,10,146,9.055555555555557
1,32,26,107,106,3,0,1,5,1,3,3,200,0.8229166666666666
1,2,11,218,106,1,5,1,0,1,7,3,152,146.96458333333334
0,12,30,136,106,1,9,2,3,2,0,0,159,0.29930555555555555
1,32,36,174,106,3,5,1,5,1,0,0,141,1.0083333333333333
1,34,1,261,106,3,5,1,5,1,6,6,204,0.8277777777777777
0,2,33,107,106,3,5,2,5,2,10,10,171,0.05
0,2,33,107,106,3,0,2,5,2,3,3,163,0.40625
1,12,30,275,106,2,5,1,5,1,3,3,183,3.4722222222222223
0,33,36,29,106,3,5,2,5,2,11,11,156,0.06527777777777778
1,2,10,29,106,3,5,1,5,1,1,1,153,0.7527777777777778
1,12,15,112,97,3,5,1,5,1,10,10,142,0.1868055555555556
1,27,36,25,106,3,0,1,5,1,2,2,181,0.3243055555555556
0,2,33,261,106,3,5,2,5,2,11,11,223,0.8881944444444444
0,32,36,174,106,0,9,2,3,2,9,9,160,0.052083333333333336
0,12,36,174,106,1,5,2,0,2,9,4,136,147.84236111111107
1,2,30,240,165,3,5,1,7,1,2,2,192,7.938888888888888
0,34,10,290,166,3,5,2,5,2,6,6,137,0.6645833333333333
0,12,17,316,106,1,0,2,3,2,9,9,152,3.1729166666666666
0,2,36,217,51,3,5,2,5,2,9,9,156,0.07916666666666666
0,6,33,107,106,3,0,2,5,2,6,6,174,0.7993055555555556
1,33,36,37,106,1,5,1,5,1,8,8,171,4.141666666666667
1,33,36,37,106,3,5,1,5,1,11,11,162,2.864583333333333
0,2,32,288,78,3,5,2,3,2,3,3,157,11.052083333333336
0,12,36,218,106,3,5,2,5,2,5,5,175,0.9138888888888888
0,2,33,274,97,3,5,2,5,2,5,5,169,0.28402777777777777
1,12,36,124,166,3,5,0,5,0,2,2,156,2.027083333333333
0,26,33,112,42,2,5,2,5,2,2,2,143,4.996527777777779
1,32,33,107,106,3,0,1,5,1,1,1,165,0.09791666666666668
1,12,36,217,50,3,0,1,5,1,1,1,201,0.4583333333333333
0,2,33,217,51,3,9,2,5,2,8,8,181,6.19375
0,21,36,182,106,3,5,2,5,2,4,4,180,0.10625
1,32,36,174,106,2,5,1,5,1,1,1,158,7.022222222222222
1,2,30,174,106,0,0,1,3,1,5,5,169,0.01875
0,12,1,28,44,3,0,2,5,2,2,2,174,2.2319444444444443
1,2,10,297,106,2,5,1,5,1,5,5,144,7.958333333333332
1,2,10,297,106,3,5,1,5,1,3,3,153,0.060416666666666674
1,33,36,25,106,3,5,1,5,1,5,5,142,0.2923611111111111
